date,region,district,market,commodity,unit,pricetype,TSh,USD
2008-12-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,100000.0,79.3147
2009-01-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,39000.0,30.1438
2009-01-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,120000.0,92.75
2009-01-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,120000.0,92.75
2009-02-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,45000.0,34.7409
2009-02-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,130000.0,100.3626
2009-02-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,102000.0,78.746
2009-03-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,45000.0,34.4058
2009-03-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,130000.0,99.3945
2009-03-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,130000.0,99.3945
2009-04-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,41000.0,31.4634
2009-04-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,115500.0,88.6348
2009-04-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,103200.0,79.1958
2009-05-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,42357.14,32.2279
2009-05-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,108357.14,82.4448
2009-05-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,99071.43,75.3796
2009-06-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,39000.0,30.3242
2009-06-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,113750.0,88.4457
2009-06-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,106666.67,82.9381
2009-07-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,39000.0,29.8553
2009-07-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,105000.0,80.3797
2009-08-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,38000.0,28.7621
2009-08-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,110000.0,83.2587
2009-08-15,Arusha,Arusha Urban,Arusha Urban,Beans,100 KG,Wholesale,100000.0,75.6897
2009-09-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,38000.0,29.5904
2009-09-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,110000.0,85.6564
2009-10-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,40000.0,30.696
2009-10-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,107000.0,82.1119
2009-11-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,42000.0,31.708
2009-11-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,113000.0,85.3097
2009-12-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,44000.0,33.3662
2009-12-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,110000.0,83.4155
2010-01-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,43000.0,32.5043
2010-01-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,130000.0,98.269
2010-02-15,Arusha,Arusha Urban,Arusha Urban,Maize,100 KG,Wholesale,45000.0,33.8804
2010-02-15,Arusha,Arusha Urban,Arusha Urban,Rice,100 KG,Wholesale,130000.0,97.8768
